Select,ID,Name,Grade Basis,Units,Program and Plan,Level,Message Not Found,Last Enrollment DateTime
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Freshman,,04/20/2010 3:09:52PM
,123,some student,Graded,0,Undergraduate - Undeclared Business Intended,Junior,Withdrawn,05/27/2010 12:57:33AM
,123,some student,Graded,3,Second Baccalaureate - Undeclared Business Intended,Fifth Year,,05/27/2010 11:13:15AM
,123,some student,Graded,0,Undergraduate - Computer Science Intended,Sophomore,Withdrawn,06/16/2010 11:00:35AM
,123,some student,Graded,0,Undergraduate - Economics-BS/Business Administration Minor,Senior,Withdrawn,07/07/2010 1:19:29PM
,123,some student,Graded,0,Undergraduate - Undeclared Intended,Sophomore,Withdrawn,07/12/2010 3:15:29PM
,123,some student,Graded,0,Undergraduate - CSE - University College,Freshman,Withdrawn,07/13/2010 4:47:51PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,07/19/2010 6:31:43PM
,123,some student,Graded,0,Undergraduate - CS - University College,Freshman,Withdrawn,07/20/2010 9:05:28AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,,07/30/2010 5:23:37PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,08/02/2010 10:21:05PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,08/04/2010 1:22:17PM
,123,some student,Graded,0,Undergraduate - Aerospace Engineering-BSAE,Junior,Withdrawn,08/05/2010 1:11:42PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,,08/09/2010 2:50:37PM
,123,some student,Graded,0,Undergraduate - CS - University College,Freshman,Withdrawn,08/13/2010 5:29:38PM
,123,some student,Graded,0,Undergraduate - Software Engineering Intended,Senior,Withdrawn,08/16/2010 12:43:10PM
,123,some student,Graded,0,Undergraduate - CS - University College,Freshman,Withdrawn,08/16/2010 1:54:04PM
,123,some student,Graded,0,Undergraduate - Computer Engineering Intended,Senior,Withdrawn,08/18/2010 7:16:27PM
,123,some student,Graded,0,Undergraduate - Computer Science Intended,Junior,Withdrawn,08/18/2010 11:42:56PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,08/25/2010 12:47:54PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,08/25/2010 12:49:06PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,,08/25/2010 2:10:34PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Freshman,,08/25/2010 4:53:09PM
,123,some student,Graded,0,Undergraduate - Civil Engineering Intended,Senior,Withdrawn,08/25/2010 5:15:21PM
,123,some student,Graded,0,Undergraduate - Mathematics Intended,Junior,Withdrawn,08/25/2010 6:54:27PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,,08/26/2010 2:06:26PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Senior,,08/30/2010 1:20:31PM
,123,some student,Graded,0,Undergraduate - Computer Engineering Intended,Senior,Withdrawn,08/31/2010 12:55:37PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Freshman,,09/01/2010 10:56:52AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,,09/01/2010 6:14:02PM
,123,some student,Graded,3,Undergraduate - Engr - University College,Sophomore,,09/10/2010 2:50:10PM
