Select,ID,Name,Grade Basis,Units,Program and Plan,Level,Message Not Found,Last Enrollment DateTime
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,05/12/2015 1:30:52PM
,123,some student,Graded,3,Undergraduate - Interdisciplinary Stu Intended,Junior,,05/26/2015 5:34:06PM
,123,some student,Graded,0,Undergraduate - Nursing RN to BSN,Senior,Withdrawn,05/29/2015 11:12:01PM
,123,some student,Graded,3,Undergraduate - Soft Engr - University College,Freshman,,06/01/2015 5:19:50PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,,06/02/2015 3:55:17PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Sophomore,,06/04/2015 4:09:09PM
,123,some student,Graded,3,Undergraduate - CSE - University College,Sophomore,,06/13/2015 12:24:05AM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Freshman,,06/16/2015 12:40:16PM
,123,some student,Graded,3,Undergraduate - Soft Engr - University College,Freshman,,06/16/2015 4:44:20PM
,123,some student,Graded,3,Undergraduate - CS - University College,Freshman,,06/16/2015 4:58:00PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,06/16/2015 5:31:51PM
,123,some student,Graded,3,Undergraduate - UBUS - University College,Freshman,,06/18/2015 2:37:57PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,06/20/2015 8:50:15AM
,123,some student,Graded,3,Undergraduate - CS - University College,Freshman,,06/24/2015 2:34:05PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,,06/26/2015 4:18:52PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,06/27/2015 9:19:07AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Junior,,06/28/2015 10:00:47PM
,123,some student,Graded,3,Undergraduate - CSE - University College,Freshman,,06/29/2015 7:28:10PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Sophomore,,06/30/2015 12:18:58PM
,123,some student,Graded,0,Undergraduate - CS - University College,Freshman,Withdrawn,06/30/2015 4:19:51PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,,06/30/2015 4:45:32PM
,123,some student,Graded,3,Undergraduate - CS - University College,Freshman,,07/02/2015 2:32:58PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,07/04/2015 10:31:38AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,,07/05/2015 3:10:39PM
,123,some student,Graded,3,Undergraduate - CSE - University College,Freshman,,07/07/2015 9:30:46AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,,07/07/2015 11:21:41AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,,07/09/2015 5:07:47PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,,07/10/2015 5:57:59PM
,123,some student,Graded,3,Undergraduate - CSE - University College,Junior,,07/13/2015 8:56:29AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,07/13/2015 5:45:56PM
,123,some student,Graded,3,Undergraduate - Undeclared Business Intended,Senior,,07/14/2015 7:50:20AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,,07/14/2015 6:36:25PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,,07/15/2015 9:37:41AM
,123,some student,Graded,0,Undergraduate - Undeclared Business Intended,Sophomore,Withdrawn,07/23/2015 2:59:32PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,,07/28/2015 1:59:42PM
,123,some student,Graded,0,Undergraduate - CS - University College,Freshman,Withdrawn,07/29/2015 3:59:34PM
,123,some student,Graded,0,Undergraduate - Software Engineering Intended,Sophomore,Withdrawn,07/30/2015 2:35:55PM
,123,some student,Graded,3,Undergraduate - Mechanical Engr Intended,Sophomore,,07/30/2015 3:00:37PM
,123,some student,Graded,3,Undergraduate - Mechanical Engr Intended,Sophomore,,08/10/2015 12:42:55PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,08/12/2015 10:59:32PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Junior,,08/17/2015 12:59:57AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,,08/17/2015 11:59:42AM
,123,some student,Graded,3,Undergraduate - CSE - University College,Freshman,,08/19/2015 2:59:56PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Junior,,08/21/2015 3:06:24PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Junior,,08/26/2015 12:17:03PM
,123,some student,Graded,3,Undergraduate - Civil Engr-University College,Freshman,,09/11/2015 4:01:30PM
