Select,ID,Name,Grade Basis,Units,Program and Plan,Level,Last Enrollment DateTime
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,04/02/2012 2:37:07PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,04/04/2012 6:57:53AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,04/04/2012 7:47:05AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,04/09/2012 12:02:28AM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,04/09/2012 6:38:31AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,04/09/2012 5:39:19PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended/Mathematics-Minor,Junior,04/11/2012 7:52:15PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,04/12/2012 12:17:13AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,04/12/2012 11:54:02AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,04/19/2012 11:45:57AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,04/19/2012 7:29:30PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,04/20/2012 10:41:49AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,05/02/2012 12:27:58PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,05/29/2012 12:38:40PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,06/08/2012 12:42:12PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,06/18/2012 3:08:18AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,06/24/2012 1:17:18PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Sophomore,07/17/2012 3:05:42PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,07/30/2012 10:44:08AM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,07/30/2012 8:02:35PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/08/2012 2:01:26PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/10/2012 2:53:19PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Sophomore,08/19/2012 11:24:40PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/21/2012 9:04:58AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/21/2012 1:09:41PM
